frame.time,ip.proto,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.stream,tcp.seq,tcp.flags,http.request.method,http.host,http.request.full_uri,http.request.version,http.user_agent,http.request.uri.query.parameter,http.request.uri.query,http.server,http.response.code,http.response.phrase
"Sep 24, 2019 10:55:57.376466986 +08",6,192.168.43.238,192.168.43.182,54159,80,0,0,0x00000002,,,,,,,,,,
"Sep 24, 2019 10:55:57.376507628 +08",6,192.168.43.182,192.168.43.238,80,54159,0,0,0x00000012,,,,,,,,,,
"Sep 24, 2019 10:55:57.393364669 +08",6,192.168.43.238,192.168.43.182,54159,80,0,1,0x00000010,,,,,,,,,,
"Sep 24, 2019 10:55:57.393648029 +08",6,192.168.43.238,192.168.43.182,54159,80,0,1,0x00000018,GET,192.168.43.182,http://192.168.43.182/sa/3204/logout.php,HTTP/1.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36",,,,,
"Sep 24, 2019 10:55:57.393700183 +08",6,192.168.43.182,192.168.43.238,80,54159,0,1,0x00000010,,,,,,,,,,
"Sep 24, 2019 10:55:57.397519982 +08",6,192.168.43.182,192.168.43.238,80,54159,0,1,0x00000018,,,,,,,,Apache/2.4.34 (Debian),302,Found
"Sep 24, 2019 10:55:57.449569121 +08",6,192.168.43.238,192.168.43.182,54159,80,0,599,0x00000018,GET,192.168.43.182,http://192.168.43.182/sa/3204/login.php,HTTP/1.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36",,,,,
"Sep 24, 2019 10:55:57.450654393 +08",6,192.168.43.182,192.168.43.238,44964,3306,1,0,0x00000002,,,,,,,,,,
"Sep 24, 2019 10:55:57.465165600 +08",6,192.168.43.238,192.168.43.182,3306,44964,1,0,0x00000012,,,,,,,,,,
"Sep 24, 2019 10:55:57.465245728 +08",6,192.168.43.182,192.168.43.238,44964,3306,1,1,0x00000010,,,,,,,,,,
"Sep 24, 2019 10:55:57.484921124 +08",6,192.168.43.238,192.168.43.182,3306,44964,1,1,0x00000018,,,,,,,,,,
"Sep 24, 2019 10:55:57.484979516 +08",6,192.168.43.182,192.168.43.238,44964,3306,1,1,0x00000010,,,,,,,,,,
"Sep 24, 2019 10:55:57.485172426 +08",6,192.168.43.182,192.168.43.238,44964,3306,1,1,0x00000018,,,,,,,,,,
"Sep 24, 2019 10:55:57.496413130 +08",6,192.168.43.182,192.168.43.238,80,54159,0,338,0x00000010,,,,,,,,,,
"Sep 24, 2019 10:55:57.496629561 +08",6,192.168.43.238,192.168.43.182,3306,44964,1,94,0x00000018,,,,,,,,,,
